name,specialty,city,area,stars,reviews,address,phone,website,latitude,longitude,maps_url
Dr Rajesh Dhopeshwarkar (Heart Rhythm & Heart Failure Clinic),cardiologist,Pune,,4.9,761,"C2 Third Floor, Minar Apartments, Law College Rd, opp. Maruti Showroom, Shanti Sheela Society, Apex Colony, Erandwane, Pune, Maharashtra 411038",096571 38400,http://cardiologypune.com/,18.5136811,73.8289084,"https://www.google.com/maps/place/Dr+Rajesh+Dhopeshwarkar+(Heart+Rhythm+%26+Heart+Failure+Clinic)/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf90138135d7:0x640c5e61cba60a42!8m2!3d18.5136811!4d73.8289084!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBBmRvY3RvcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeU16bEVjbmQzUlJBQuABAPoBBAgAEEw!16s%2Fg%2F11bx55wdzg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Aniruddha B Chandorkar,cardiologist,Pune,,4.6,75,"101, Yashod Apartments, Opp. Symbiosis High School, Lane No 15, Prabhat Rd, Pune, Maharashtra 411004",095799 23046,N/A,18.5156552,73.8304363,"https://www.google.com/maps/place/Dr+Aniruddha+B+Chandorkar/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf8f258dd7fd:0xc6e7de8db8cf243b!8m2!3d18.5156552!4d73.8304363!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtNbFJ0WkZkVU1sSk9ZakJHU0ZGdVRsbE9WbHBRVEZaV1JHUkdSUkFC4AEA-gEFCN0CEEc!16s%2Fg%2F1tmckp8x?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Vivek Gaikwad's Hridayaksha Heart & Eye Clinic | Best Cardiologist In Pune,cardiologist,Pune,,5.0,622,"Second floor, Grand Helios 202, Lakaki Rd, above Axis Bank, Model Colony, Shivajinagar, Pune, Maharashtra 411016",081778 27714,http://www.hridayaksha.com/,18.5286809,73.84034,"https://www.google.com/maps/place/Dr.+Vivek+Gaikwad's+Hridayaksha+Heart+%26+Eye+Clinic+%7C+Best+Cardiologist+In+Pune/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c174bb8406cb:0x3fbb0d2bb522e456!8m2!3d18.5286809!4d73.84034!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11fsfclpnb?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Sunil Sathe - Cardiac Care and Counselling Centre,cardiologist,Pune,,4.4,149,"4th Floor, Park Plaza, 775/1, Dr Ketkar Rd, opposite Kamala Nehru Park Road, off Bhandarkar Road, Deccan Gymkhana, Pune, Maharashtra 411004",020 2566 3890,https://www.cardiaccareandcounsellingcentre.in/,18.5175125,73.8339732,"https://www.google.com/maps/place/Dr.+Sunil+Sathe+-+Cardiac+Care+and+Counselling+Centre/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf85c36d50ef:0xb0f6ed83f28b51c9!8m2!3d18.5175125!4d73.8339732!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQ2IwbGZPWGRSUlJBQuABAPoBBAh9EEM!16s%2Fg%2F1tm283y3?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr.Rahul Sawant | Best Cardiologist in Pune | Hridaymitra Cardia Clinic Pune,cardiologist,Pune,,5.0,808,"City Pride Cinema, 1st Floor Pushpa Prestige Above Puma Showroom Cosmos bank, Pune - Satara Rd, opposite HOTEL UTSAV DELUXE, Pune, Maharashtra 411009",090219 40551,https://hridaymitracardiaclinic.com/,18.4894508,73.8572494,"https://www.google.com/maps/place/Dr.Rahul+Sawant+%7C+Best+Cardiologist+in+Pune+%7C+Hridaymitra+Cardia+Clinic+Pune/@18.4894508,73.8212005,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c01c783b0983:0x5956d5c95e481b2f!8m2!3d18.4894508!4d73.8572494!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11fyx5b35m?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Rahul Patil | Best Cardiologist in Pune | Heart Doctor in Pune | Heart Clinic,cardiologist,Pune,,4.9,2088,"A, 301, Chatrapati Shahu Maharaj Rd, opposite Ruby Hall, Sangamvadi, Pune, Maharashtra 411001",020 2616 1553,https://www.bestcardiologistpune.com/,18.532443,73.8765357,"https://www.google.com/maps/place/Dr.+Rahul+Patil+%7C+Best+Cardiologist+in+Pune+%7C+Heart+Doctor+in+Pune+%7C+Heart+Clinic/@18.532443,73.8404868,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c0f7f074a6a7:0x152227b29150240f!8m2!3d18.532443!4d73.8765357!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTWVtRTJSR05uRUFF4AEA-gEECAAQQQ!16s%2Fg%2F11b7k_07bx?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Kedar Kulkarni | Best Cardiologist in Pune | Heart Doctor in Pune,cardiologist,Pune,,4.8,59,"1st Floor, Above Chaitanya Paratha, Chanakyapuri Tukaram Paduka Chowk, Fergusson College Rd, Pune, Maharashtra 411004",090969 72869,https://www.cardiologyclinic.in/,18.5237134,73.8411659,"https://www.google.com/maps/place/Dr.+Kedar+Kulkarni+%7C+Best+Cardiologist+in+Pune+%7C+Heart+Doctor+in+Pune/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf2f96cb9d7f:0xe54e72c54c7a59b0!8m2!3d18.5237134!4d73.8411659!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11h53wfs9b?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Tanmay S Kulkarni | TAVI Expert in Maharashtra | TAVR | Cardiologist in Pune | Mitra Clip Specialist,cardiologist,Pune,,N/A,N/A,"Joshi Hospital, 778, Kamala Nehru Park Rd, opposite Kamala Nehru Park, Shivajinagar, Pune, Maharashtra 411004",085519 13753,http://www.drtanmaykulkarni.com/,18.5171195,73.8330595,"https://www.google.com/maps/place/Dr.+Tanmay+S+Kulkarni+%7C+TAVI+Expert+in+Maharashtra+%7C+TAVR+%7C+Cardiologist+in+Pune+%7C+Mitra+Clip+Specialist/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bfdefdceb301:0xb5b3b3e3d34898cd!8m2!3d18.5171195!4d73.8330595!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11z3_b5ktw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Swapnil Mate | Consultant Interventional Cardiologist in Pune,cardiologist,Pune,,5.0,20,"Flat no.104, Lifemate clinic, Goodluck Chowk, Samadhan Apartments, Bhandarkar Rd, beside The Oakwood Hotel, Shivajinagar, Pune, Maharashtra 411004",084596 12363,https://www.drswapnilmate.com/,18.5175674,73.8405969,"https://www.google.com/maps/place/Dr.+Swapnil+Mate+%7C+Consultant+Interventional+Cardiologist+in+Pune/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2b91c97214ef9:0x2a56debe126d2121!8m2!3d18.5175674!4d73.8405969!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11hf82gnyf?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Suhrud cardiology,cardiologist,Pune,,5.0,13,"plot no 23, off, Karve Rd, Khilarewadi, Erandwane, Pune, Maharashtra 411004",N/A,N/A,18.5095996,73.8366632,"https://www.google.com/maps/place/Suhrud+cardiology/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf623855918f:0x8d9849d5dbba16b8!8m2!3d18.5095996!4d73.8366632!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDmhlYXJ0X2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5TWjB4eVJsSm5FQUXgAQD6AQQIABAt!16s%2Fg%2F11sf0fz9mc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Gaurav Ganeshwala | Best Cardiologist in Pune | Heart Specialist Doctor in Pune,cardiologist,Pune,,4.9,240,"Cardiology OPD, Ground Floor Ruby Hall Clinic, Sasoon Rd, Pune, Maharashtra 411001",086057 12240,https://www.heartspecialistpune.com/,18.5339208,73.877427,"https://www.google.com/maps/place/Dr.+Gaurav+Ganeshwala+%7C+Best+Cardiologist+in+Pune+%7C+Heart+Specialist+Doctor+in+Pune/@18.5339208,73.8413781,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c1ec0e82d2af:0x4a8eab1633333a47!8m2!3d18.5339208!4d73.877427!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11k6x317_g?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Chandorkar Cardiac Care Clinic & pathology lab,cardiologist,Pune,,5.0,8,"No. 101 - 102, Yashod Apartments, Prabhat Road, Deccan Gymkhana, Pune - 411004, Maharashtra 411004",020 2565 8196,N/A,18.515496,73.8303392,"https://www.google.com/maps/place/Chandorkar+Cardiac+Care+Clinic+%26+pathology+lab/@18.515496,73.7942903,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf8f3fffffff:0xcdd4ca7f5d96240b!8m2!3d18.515496!4d73.8303392!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOdloxbDFlRTlCRUFF4AEA-gEECAAQEw!16s%2Fg%2F1td5dkv7?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Tanmay Kulkarni | Cardiologist in Pune| Mitra Clip Specialist |TAVI Expert in Maharashtra | Heart Specialist in Pune,cardiologist,Pune,,N/A,N/A,"MMF Ratna Memorial Hospital, 968, Senapati Bapat Rd, Shivaji Co operative Housing Society, Rajasthan Society, Gokhalenagar, Pune, Maharashtra 411016",085519 13753,https://drtanmaykulkarni.com/,18.5277265,73.8295557,"https://www.google.com/maps/place/Dr.+Tanmay+Kulkarni+%7C+Cardiologist+in+Pune%7C+Mitra+Clip+Specialist+%7CTAVI+Expert+in+Maharashtra+%7C+Heart+Specialist+in+Pune/@18.515496,73.7942903,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf76bd260575:0xc63da74230f68cc5!8m2!3d18.5277265!4d73.8295557!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11z1k8rp81?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Gaurav M Ganeshwala | Best Heart Specialist in Pune | Heart Doctor Pune,cardiologist,Pune,,5.0,893,"G1B Metropole, Central Pune Doctor House, Bund Garden Rd, next to Inox theater, Pune, Maharashtra 411001",090903 04747,http://www.centralpdh.com/,18.5273133,73.878051,"https://www.google.com/maps/place/Dr+Gaurav+M+Ganeshwala+%7C+Best+Heart+Specialist+in+Pune+%7C+Heart+Doctor+Pune/@18.5273133,73.8420021,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c1f14dd0957b:0x72601aff6ec95b5d!8m2!3d18.5273133!4d73.878051!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11s_0w666_?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
HrudaySparsh Heart care Centre,cardiologist,Pune,,4.6,230,"203 , Centre Point Mitral, Mitra Mandal Chowk, near Laxminarayan theater, Swargate, Pune, Maharashtra 411009",095950 20000,N/A,18.4971556,73.8554734,"https://www.google.com/maps/place/HrudaySparsh+Heart+care+Centre/@18.4971556,73.8194245,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c010467d9bc1:0x8898ffaab6245a0!8m2!3d18.4971556!4d73.8554734!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS2NVeFBZbXhCUlJBQuABAPoBBAgAED8!16s%2Fg%2F11g6rx8924?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Madhusudan Asawa,cardiologist,Pune,,5.0,4145,"2nd Floor, The Heart Clinic, Shivai 1, Narveer Tanaji Malusare Rd, near Rashtra Seva Dal, opposite Vighnaharta Complex, Dandekar Pool, Municipal Colony, Pune, Maharashtra 411030",091300 52247,https://www.heartclinicpune.com/,18.5014311,73.8475207,"https://www.google.com/maps/place/Dr+Madhusudan+Asawa/@18.4971556,73.8194245,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf6d0d5d92fb:0x8e6abccbec1c300d!8m2!3d18.5014311!4d73.8475207!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11rzjhxgrk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Abhijeet Palshikar,cardiologist,Pune,,4.9,708,"Flat No 10, 4th Floor, Karve Rd, Dahanukar A, Dahanukar Colony, Kothrud, Pune, Maharashtra 411038",091300 58897,http://punecardiologist.com/,18.4982944,73.8133715,"https://www.google.com/maps/place/Dr.+Abhijeet+Palshikar/@18.4982944,73.7773226,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bfc145daaaab:0x625fdd76cdefd1db!8m2!3d18.4982944!4d73.8133715!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNWtTbE5xVG1sUlZXeGhVek5hZWxaV1ZUQlpNbmN6VVZjMGVGRnJSUkFC4AEA-gEECHkQRw!16s%2Fg%2F11k69347t8?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Abhijit Vaidya's Sanjeevani Cardiac Care Center,cardiologist,Pune,,4.9,129,"Sanas Plaza, Bajirao Rd, Subhash Nagar, Shukrawar Peth, Pune, Maharashtra 411002",N/A,N/A,18.5065151,73.8539668,"https://www.google.com/maps/place/Dr+Abhijit+Vaidya's+Sanjeevani+Cardiac+Care+Center/@18.5065151,73.8179179,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c012a9af0b27:0xe4dad345abaa6d4a!8m2!3d18.5065151!4d73.8539668!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEdXRlZXVG0xamEyd3hZbFZHYVZaWFVrVlRWMFkxVG1wQ1VWWldSUkFC4AEA-gEECBkQOw!16s%2Fg%2F1thxz7jk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Rajdatt Deore,cardiologist,Pune,,4.9,1285,"West Avenue, Pulse Cardiac-Diabetes Clinic 614, above Atithi Hotel Breman Chawk, Aundh, Pune, Maharashtra 411067",099209 46760,http://www.topcardiologistpune.com/,18.5636178,73.8133691,"https://www.google.com/maps/place/Dr.+Rajdatt+Deore/@18.5636178,73.7773202,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bfea99068ff3:0x6884891d3093a758!8m2!3d18.5636178!4d73.8133691!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNU5lbFpxU21sWGJGWlpVMVJOTlU1clZqQmtTRWt3VmpBMWJXUllZeEFC4AEA-gEECAAQNg!16s%2Fg%2F11q8y5hhc3?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr. Pankaj Sugaonkar,Best Paediatric cardiologist,Little heart care center , in Pune ,PCMC,Aurangabad and Maharashtra",cardiologist,Pune,,4.9,474,"Office 204, second floor,vikram goldmine,opposite venus stationary, back side of Rupali hotel(FC road, Apte Rd, Deccan Gymkhana, Pune, Maharashtra 411004",086983 13098,http://www.littleheartpune.com/,18.5200077,73.8419011,"https://www.google.com/maps/place/Dr.+Pankaj+Sugaonkar,Best+Paediatric+cardiologist,Little+heart+care+center+,+in+Pune+,PCMC,Aurangabad+and+Maharashtra/@18.5200077,73.8058522,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c0703e1bced7:0xfffdd8bc769c3a16!8m2!3d18.5200077!4d73.8419011!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBFnBlZGlhdHJpY19jYXJkaW9sb2dpc3SaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnR6ZVZWRVJtNWlNMnhPWTBaT2JVMHlTbEJaTWxwd1dqTkJlR05HUlJBQuABAPoBBAgAEDU!16s%2Fg%2F11c3k56klx?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
